profile_id,legacy_si_id,RE,CF,TL,CQ,CAP,COP,scenario_key,RE_SC,BM_SC,CP_SC,FL_SC
33,33.0,RE1,CF2,TL1,CQ5,CAP1,COP1,RE1_CF2_TL1_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.3
34,34.0,RE1,CF1,TL1,CQ4,CAP1,COP1,RE1_CF1_TL1_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.4
35,35.0,RE1,CF2,TL2,CQ3,CAP1,COP2,RE1_CF2_TL2_CQ3_CAP1_COP2,BAU,REPO,PD,0.3
36,36.0,RE2,CF1,TL2,CQ4,CAP1,COP2,RE2_CF1_TL2_CQ4_CAP1_COP2,H,REPO_plus,PD,0.4
37,37.0,RE1,CF1,TL2,CQ3,CAP1,COP1,RE1_CF1_TL2_CQ3_CAP1_COP1,BAU,REPO,BAU,0.4
38,38.0,RE1,CF1,TL1,CQ1,CAP1,COP1,RE1_CF1_TL1_CQ1_CAP1_COP1,BAU,无配额,BAU,0.4
39,39.0,RE2,CF2,TL1,CQ4,CAP1,COP1,RE2_CF2_TL1_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.3
40,40.0,RE2,CF1,TL1,CQ6,CAP1,COP2,RE2_CF1_TL1_CQ6_CAP1_COP2,H,电力配额,PD,0.4
41,41.0,RE2,CF1,TL1,CQ4,CAP2,COP2,RE2_CF1_TL1_CQ4_CAP2_COP2,H,REPO_plus,PD,0.4
42,42.0,RE2,CF2,TL1,CQ2,CAP2,COP2,RE2_CF2_TL1_CQ2_CAP2_COP2,H,基准不变,PD,0.3
43,43.0,RE2,CF1,TL1,CQ2,CAP2,COP1,RE2_CF1_TL1_CQ2_CAP2_COP1,H,基准不变,BAU,0.4
44,44.0,RE1,CF1,TL1,CQ2,CAP1,COP2,RE1_CF1_TL1_CQ2_CAP1_COP2,BAU,基准不变,PD,0.4
45,45.0,RE2,CF2,TL1,CQ1,CAP2,COP1,RE2_CF2_TL1_CQ1_CAP2_COP1,H,无配额,BAU,0.3
46,46.0,RE2,CF2,TL2,CQ5,CAP1,COP2,RE2_CF2_TL2_CQ5_CAP1_COP2,H,全行业配额,PD,0.3
47,47.0,RE2,CF1,TL1,CQ3,CAP1,COP1,RE2_CF1_TL1_CQ3_CAP1_COP1,H,REPO,BAU,0.4
48,48.0,RE1,CF2,TL2,CQ4,CAP1,COP1,RE1_CF2_TL2_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.3
49,49.0,RE1,CF3,TL1,CQ6,CAP2,COP2,RE1_CF3_TL1_CQ6_CAP2_COP2,BAU,电力配额,PD,0.0
50,50.0,RE1,CF1,TL1,CQ6,CAP2,COP1,RE1_CF1_TL1_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.4
51,51.0,RE1,CF2,TL2,CQ1,CAP2,COP2,RE1_CF2_TL2_CQ1_CAP2_COP2,BAU,无配额,PD,0.3
52,52.0,RE1,CF1,TL2,CQ2,CAP2,COP1,RE1_CF1_TL2_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.4
53,53.0,RE1,CF3,TL2,CQ4,CAP2,COP2,RE1_CF3_TL2_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.0
54,54.0,RE2,CF2,TL1,CQ3,CAP1,COP2,RE2_CF2_TL1_CQ3_CAP1_COP2,H,REPO,PD,0.3
55,55.0,RE2,CF3,TL1,CQ1,CAP1,COP1,RE2_CF3_TL1_CQ1_CAP1_COP1,H,无配额,BAU,0.0
56,56.0,RE1,CF3,TL1,CQ4,CAP1,COP2,RE1_CF3_TL1_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.0
57,57.0,RE1,CF3,TL2,CQ6,CAP1,COP1,RE1_CF3_TL2_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.0
58,58.0,RE2,CF2,TL2,CQ5,CAP2,COP1,RE2_CF2_TL2_CQ5_CAP2_COP1,H,全行业配额,BAU,0.3
59,59.0,RE1,CF2,TL1,CQ4,CAP2,COP2,RE1_CF2_TL1_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.3
60,60.0,RE1,CF3,TL2,CQ1,CAP1,COP2,RE1_CF3_TL2_CQ1_CAP1_COP2,BAU,无配额,PD,0.0
61,61.0,RE2,CF1,TL2,CQ1,CAP2,COP1,RE2_CF1_TL2_CQ1_CAP2_COP1,H,无配额,BAU,0.4
62,62.0,RE2,CF3,TL1,CQ3,CAP2,COP2,RE2_CF3_TL1_CQ3_CAP2_COP2,H,REPO,PD,0.0
63,63.0,RE1,CF2,TL1,CQ3,CAP2,COP1,RE1_CF2_TL1_CQ3_CAP2_COP1,BAU,REPO,BAU,0.3
64,64.0,RE1,CF1,TL2,CQ5,CAP1,COP2,RE1_CF1_TL2_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.4
65,65.0,RE2,CF1,TL2,CQ2,CAP1,COP2,RE2_CF1_TL2_CQ2_CAP1_COP2,H,基准不变,PD,0.4
66,66.0,RE1,CF3,TL2,CQ3,CAP2,COP1,RE1_CF3_TL2_CQ3_CAP2_COP1,BAU,REPO,BAU,0.0
67,67.0,RE2,CF1,TL2,CQ3,CAP2,COP2,RE2_CF1_TL2_CQ3_CAP2_COP2,H,REPO,PD,0.4
68,68.0,RE1,CF3,TL1,CQ2,CAP1,COP1,RE1_CF3_TL1_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.0
69,69.0,RE2,CF2,TL2,CQ3,CAP2,COP1,RE2_CF2_TL2_CQ3_CAP2_COP1,H,REPO,BAU,0.3
70,70.0,RE1,CF1,TL2,CQ4,CAP2,COP1,RE1_CF1_TL2_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.4
71,71.0,RE2,CF2,TL2,CQ6,CAP1,COP2,RE2_CF2_TL2_CQ6_CAP1_COP2,H,电力配额,PD,0.3
72,72.0,RE1,CF1,TL1,CQ1,CAP2,COP2,RE1_CF1_TL1_CQ1_CAP2_COP2,BAU,无配额,PD,0.4
73,,RE1,CF1,TL1,CQ1,CAP1,COP2,RE1_CF1_TL1_CQ1_CAP1_COP2,BAU,无配额,PD,0.4
74,,RE1,CF1,TL1,CQ1,CAP2,COP1,RE1_CF1_TL1_CQ1_CAP2_COP1,BAU,无配额,BAU,0.4
75,,RE1,CF1,TL1,CQ2,CAP1,COP1,RE1_CF1_TL1_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.4
76,,RE1,CF1,TL1,CQ2,CAP2,COP1,RE1_CF1_TL1_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.4
77,,RE1,CF1,TL1,CQ2,CAP2,COP2,RE1_CF1_TL1_CQ2_CAP2_COP2,BAU,基准不变,PD,0.4
78,,RE1,CF1,TL1,CQ3,CAP1,COP1,RE1_CF1_TL1_CQ3_CAP1_COP1,BAU,REPO,BAU,0.4
79,,RE1,CF1,TL1,CQ3,CAP1,COP2,RE1_CF1_TL1_CQ3_CAP1_COP2,BAU,REPO,PD,0.4
80,,RE1,CF1,TL1,CQ3,CAP2,COP1,RE1_CF1_TL1_CQ3_CAP2_COP1,BAU,REPO,BAU,0.4
81,,RE1,CF1,TL1,CQ4,CAP1,COP2,RE1_CF1_TL1_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.4
82,,RE1,CF1,TL1,CQ4,CAP2,COP1,RE1_CF1_TL1_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.4
83,,RE1,CF1,TL1,CQ4,CAP2,COP2,RE1_CF1_TL1_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.4
84,,RE1,CF1,TL1,CQ5,CAP1,COP1,RE1_CF1_TL1_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.4
85,,RE1,CF1,TL1,CQ5,CAP1,COP2,RE1_CF1_TL1_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.4
86,,RE1,CF1,TL1,CQ5,CAP2,COP1,RE1_CF1_TL1_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.4
87,,RE1,CF1,TL1,CQ5,CAP2,COP2,RE1_CF1_TL1_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.4
88,,RE1,CF1,TL1,CQ6,CAP1,COP1,RE1_CF1_TL1_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.4
89,,RE1,CF1,TL1,CQ6,CAP1,COP2,RE1_CF1_TL1_CQ6_CAP1_COP2,BAU,电力配额,PD,0.4
90,,RE1,CF1,TL1,CQ6,CAP2,COP2,RE1_CF1_TL1_CQ6_CAP2_COP2,BAU,电力配额,PD,0.4
91,,RE1,CF1,TL2,CQ1,CAP1,COP1,RE1_CF1_TL2_CQ1_CAP1_COP1,BAU,无配额,BAU,0.4
92,,RE1,CF1,TL2,CQ1,CAP1,COP2,RE1_CF1_TL2_CQ1_CAP1_COP2,BAU,无配额,PD,0.4
93,,RE1,CF1,TL2,CQ1,CAP2,COP1,RE1_CF1_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.4
94,,RE1,CF1,TL2,CQ1,CAP2,COP2,RE1_CF1_TL2_CQ1_CAP2_COP2,BAU,无配额,PD,0.4
95,,RE1,CF1,TL2,CQ2,CAP1,COP1,RE1_CF1_TL2_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.4
96,,RE1,CF1,TL2,CQ2,CAP1,COP2,RE1_CF1_TL2_CQ2_CAP1_COP2,BAU,基准不变,PD,0.4
97,,RE1,CF1,TL2,CQ2,CAP2,COP2,RE1_CF1_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.4
98,,RE1,CF1,TL2,CQ3,CAP1,COP2,RE1_CF1_TL2_CQ3_CAP1_COP2,BAU,REPO,PD,0.4
99,,RE1,CF1,TL2,CQ3,CAP2,COP1,RE1_CF1_TL2_CQ3_CAP2_COP1,BAU,REPO,BAU,0.4
100,,RE1,CF1,TL2,CQ3,CAP2,COP2,RE1_CF1_TL2_CQ3_CAP2_COP2,BAU,REPO,PD,0.4
101,,RE1,CF1,TL2,CQ4,CAP1,COP1,RE1_CF1_TL2_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.4
102,,RE1,CF1,TL2,CQ4,CAP1,COP2,RE1_CF1_TL2_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.4
103,,RE1,CF1,TL2,CQ4,CAP2,COP2,RE1_CF1_TL2_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.4
104,,RE1,CF1,TL2,CQ5,CAP1,COP1,RE1_CF1_TL2_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.4
105,,RE1,CF1,TL2,CQ5,CAP2,COP2,RE1_CF1_TL2_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.4
106,,RE1,CF1,TL2,CQ6,CAP1,COP1,RE1_CF1_TL2_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.4
107,,RE1,CF1,TL2,CQ6,CAP1,COP2,RE1_CF1_TL2_CQ6_CAP1_COP2,BAU,电力配额,PD,0.4
108,,RE1,CF1,TL2,CQ6,CAP2,COP1,RE1_CF1_TL2_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.4
109,,RE1,CF2,TL1,CQ1,CAP1,COP1,RE1_CF2_TL1_CQ1_CAP1_COP1,BAU,无配额,BAU,0.3
110,,RE1,CF2,TL1,CQ1,CAP2,COP1,RE1_CF2_TL1_CQ1_CAP2_COP1,BAU,无配额,BAU,0.3
111,,RE1,CF2,TL1,CQ1,CAP2,COP2,RE1_CF2_TL1_CQ1_CAP2_COP2,BAU,无配额,PD,0.3
112,,RE1,CF2,TL1,CQ2,CAP1,COP1,RE1_CF2_TL1_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.3
113,,RE1,CF2,TL1,CQ2,CAP1,COP2,RE1_CF2_TL1_CQ2_CAP1_COP2,BAU,基准不变,PD,0.3
114,,RE1,CF2,TL1,CQ2,CAP2,COP2,RE1_CF2_TL1_CQ2_CAP2_COP2,BAU,基准不变,PD,0.3
115,,RE1,CF2,TL1,CQ3,CAP1,COP1,RE1_CF2_TL1_CQ3_CAP1_COP1,BAU,REPO,BAU,0.3
116,,RE1,CF2,TL1,CQ3,CAP1,COP2,RE1_CF2_TL1_CQ3_CAP1_COP2,BAU,REPO,PD,0.3
117,,RE1,CF2,TL1,CQ3,CAP2,COP2,RE1_CF2_TL1_CQ3_CAP2_COP2,BAU,REPO,PD,0.3
118,,RE1,CF2,TL1,CQ4,CAP1,COP1,RE1_CF2_TL1_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.3
119,,RE1,CF2,TL1,CQ4,CAP1,COP2,RE1_CF2_TL1_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.3
120,,RE1,CF2,TL1,CQ4,CAP2,COP1,RE1_CF2_TL1_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.3
121,,RE1,CF2,TL1,CQ5,CAP1,COP2,RE1_CF2_TL1_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.3
122,,RE1,CF2,TL1,CQ5,CAP2,COP1,RE1_CF2_TL1_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.3
123,,RE1,CF2,TL1,CQ6,CAP1,COP1,RE1_CF2_TL1_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.3
124,,RE1,CF2,TL1,CQ6,CAP2,COP1,RE1_CF2_TL1_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.3
125,,RE1,CF2,TL1,CQ6,CAP2,COP2,RE1_CF2_TL1_CQ6_CAP2_COP2,BAU,电力配额,PD,0.3
126,,RE1,CF2,TL2,CQ1,CAP1,COP1,RE1_CF2_TL2_CQ1_CAP1_COP1,BAU,无配额,BAU,0.3
127,,RE1,CF2,TL2,CQ1,CAP1,COP2,RE1_CF2_TL2_CQ1_CAP1_COP2,BAU,无配额,PD,0.3
128,,RE1,CF2,TL2,CQ1,CAP2,COP1,RE1_CF2_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.3
129,,RE1,CF2,TL2,CQ2,CAP1,COP1,RE1_CF2_TL2_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.3
130,,RE1,CF2,TL2,CQ2,CAP2,COP1,RE1_CF2_TL2_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.3
131,,RE1,CF2,TL2,CQ2,CAP2,COP2,RE1_CF2_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.3
132,,RE1,CF2,TL2,CQ3,CAP1,COP1,RE1_CF2_TL2_CQ3_CAP1_COP1,BAU,REPO,BAU,0.3
133,,RE1,CF2,TL2,CQ3,CAP2,COP1,RE1_CF2_TL2_CQ3_CAP2_COP1,BAU,REPO,BAU,0.3
134,,RE1,CF2,TL2,CQ3,CAP2,COP2,RE1_CF2_TL2_CQ3_CAP2_COP2,BAU,REPO,PD,0.3
135,,RE1,CF2,TL2,CQ4,CAP1,COP2,RE1_CF2_TL2_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.3
136,,RE1,CF2,TL2,CQ4,CAP2,COP1,RE1_CF2_TL2_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.3
137,,RE1,CF2,TL2,CQ4,CAP2,COP2,RE1_CF2_TL2_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.3
138,,RE1,CF2,TL2,CQ5,CAP1,COP1,RE1_CF2_TL2_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.3
139,,RE1,CF2,TL2,CQ5,CAP1,COP2,RE1_CF2_TL2_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.3
140,,RE1,CF2,TL2,CQ5,CAP2,COP1,RE1_CF2_TL2_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.3
141,,RE1,CF2,TL2,CQ5,CAP2,COP2,RE1_CF2_TL2_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.3
142,,RE1,CF2,TL2,CQ6,CAP1,COP1,RE1_CF2_TL2_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.3
143,,RE1,CF2,TL2,CQ6,CAP1,COP2,RE1_CF2_TL2_CQ6_CAP1_COP2,BAU,电力配额,PD,0.3
144,,RE1,CF2,TL2,CQ6,CAP2,COP2,RE1_CF2_TL2_CQ6_CAP2_COP2,BAU,电力配额,PD,0.3
145,,RE1,CF3,TL1,CQ1,CAP1,COP1,RE1_CF3_TL1_CQ1_CAP1_COP1,BAU,无配额,BAU,0.0
146,,RE1,CF3,TL1,CQ1,CAP1,COP2,RE1_CF3_TL1_CQ1_CAP1_COP2,BAU,无配额,PD,0.0
147,,RE1,CF3,TL1,CQ1,CAP2,COP1,RE1_CF3_TL1_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0
148,,RE1,CF3,TL1,CQ1,CAP2,COP2,RE1_CF3_TL1_CQ1_CAP2_COP2,BAU,无配额,PD,0.0
149,,RE1,CF3,TL1,CQ2,CAP1,COP2,RE1_CF3_TL1_CQ2_CAP1_COP2,BAU,基准不变,PD,0.0
150,,RE1,CF3,TL1,CQ2,CAP2,COP1,RE1_CF3_TL1_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.0
151,,RE1,CF3,TL1,CQ2,CAP2,COP2,RE1_CF3_TL1_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0
152,,RE1,CF3,TL1,CQ3,CAP1,COP2,RE1_CF3_TL1_CQ3_CAP1_COP2,BAU,REPO,PD,0.0
153,,RE1,CF3,TL1,CQ3,CAP2,COP1,RE1_CF3_TL1_CQ3_CAP2_COP1,BAU,REPO,BAU,0.0
154,,RE1,CF3,TL1,CQ3,CAP2,COP2,RE1_CF3_TL1_CQ3_CAP2_COP2,BAU,REPO,PD,0.0
155,,RE1,CF3,TL1,CQ4,CAP1,COP1,RE1_CF3_TL1_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.0
156,,RE1,CF3,TL1,CQ4,CAP2,COP1,RE1_CF3_TL1_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.0
157,,RE1,CF3,TL1,CQ4,CAP2,COP2,RE1_CF3_TL1_CQ4_CAP2_COP2,BAU,REPO_plus,PD,0.0
158,,RE1,CF3,TL1,CQ5,CAP1,COP1,RE1_CF3_TL1_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.0
159,,RE1,CF3,TL1,CQ5,CAP2,COP1,RE1_CF3_TL1_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.0
160,,RE1,CF3,TL1,CQ5,CAP2,COP2,RE1_CF3_TL1_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.0
161,,RE1,CF3,TL1,CQ6,CAP1,COP1,RE1_CF3_TL1_CQ6_CAP1_COP1,BAU,电力配额,BAU,0.0
162,,RE1,CF3,TL1,CQ6,CAP1,COP2,RE1_CF3_TL1_CQ6_CAP1_COP2,BAU,电力配额,PD,0.0
163,,RE1,CF3,TL1,CQ6,CAP2,COP1,RE1_CF3_TL1_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.0
164,,RE1,CF3,TL2,CQ1,CAP1,COP1,RE1_CF3_TL2_CQ1_CAP1_COP1,BAU,无配额,BAU,0.0
165,,RE1,CF3,TL2,CQ1,CAP2,COP2,RE1_CF3_TL2_CQ1_CAP2_COP2,BAU,无配额,PD,0.0
166,,RE1,CF3,TL2,CQ2,CAP1,COP1,RE1_CF3_TL2_CQ2_CAP1_COP1,BAU,基准不变,BAU,0.0
167,,RE1,CF3,TL2,CQ2,CAP1,COP2,RE1_CF3_TL2_CQ2_CAP1_COP2,BAU,基准不变,PD,0.0
168,,RE1,CF3,TL2,CQ2,CAP2,COP1,RE1_CF3_TL2_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.0
169,,RE1,CF3,TL2,CQ3,CAP1,COP1,RE1_CF3_TL2_CQ3_CAP1_COP1,BAU,REPO,BAU,0.0
170,,RE1,CF3,TL2,CQ3,CAP1,COP2,RE1_CF3_TL2_CQ3_CAP1_COP2,BAU,REPO,PD,0.0
171,,RE1,CF3,TL2,CQ3,CAP2,COP2,RE1_CF3_TL2_CQ3_CAP2_COP2,BAU,REPO,PD,0.0
172,,RE1,CF3,TL2,CQ4,CAP1,COP1,RE1_CF3_TL2_CQ4_CAP1_COP1,BAU,REPO_plus,BAU,0.0
173,,RE1,CF3,TL2,CQ4,CAP1,COP2,RE1_CF3_TL2_CQ4_CAP1_COP2,BAU,REPO_plus,PD,0.0
174,,RE1,CF3,TL2,CQ4,CAP2,COP1,RE1_CF3_TL2_CQ4_CAP2_COP1,BAU,REPO_plus,BAU,0.0
175,,RE1,CF3,TL2,CQ5,CAP1,COP2,RE1_CF3_TL2_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.0
176,,RE1,CF3,TL2,CQ5,CAP2,COP1,RE1_CF3_TL2_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.0
177,,RE1,CF3,TL2,CQ5,CAP2,COP2,RE1_CF3_TL2_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.0
178,,RE1,CF3,TL2,CQ6,CAP1,COP2,RE1_CF3_TL2_CQ6_CAP1_COP2,BAU,电力配额,PD,0.0
179,,RE1,CF3,TL2,CQ6,CAP2,COP1,RE1_CF3_TL2_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.0
180,,RE1,CF3,TL2,CQ6,CAP2,COP2,RE1_CF3_TL2_CQ6_CAP2_COP2,BAU,电力配额,PD,0.0
181,,RE2,CF1,TL1,CQ1,CAP1,COP1,RE2_CF1_TL1_CQ1_CAP1_COP1,H,无配额,BAU,0.4
182,,RE2,CF1,TL1,CQ1,CAP1,COP2,RE2_CF1_TL1_CQ1_CAP1_COP2,H,无配额,PD,0.4
183,,RE2,CF1,TL1,CQ1,CAP2,COP1,RE2_CF1_TL1_CQ1_CAP2_COP1,H,无配额,BAU,0.4
184,,RE2,CF1,TL1,CQ1,CAP2,COP2,RE2_CF1_TL1_CQ1_CAP2_COP2,H,无配额,PD,0.4
185,,RE2,CF1,TL1,CQ2,CAP1,COP1,RE2_CF1_TL1_CQ2_CAP1_COP1,H,基准不变,BAU,0.4
186,,RE2,CF1,TL1,CQ2,CAP1,COP2,RE2_CF1_TL1_CQ2_CAP1_COP2,H,基准不变,PD,0.4
187,,RE2,CF1,TL1,CQ2,CAP2,COP2,RE2_CF1_TL1_CQ2_CAP2_COP2,H,基准不变,PD,0.4
188,,RE2,CF1,TL1,CQ3,CAP1,COP2,RE2_CF1_TL1_CQ3_CAP1_COP2,H,REPO,PD,0.4
189,,RE2,CF1,TL1,CQ3,CAP2,COP1,RE2_CF1_TL1_CQ3_CAP2_COP1,H,REPO,BAU,0.4
190,,RE2,CF1,TL1,CQ3,CAP2,COP2,RE2_CF1_TL1_CQ3_CAP2_COP2,H,REPO,PD,0.4
191,,RE2,CF1,TL1,CQ4,CAP1,COP1,RE2_CF1_TL1_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.4
192,,RE2,CF1,TL1,CQ4,CAP1,COP2,RE2_CF1_TL1_CQ4_CAP1_COP2,H,REPO_plus,PD,0.4
